source_row_index,source_timestamp,receive_time_utc,processing_complete_time_utc,ingress_to_pricing_output_elapsed_ns,entity_id,close,adaptive_status,adaptive_position_decision,pricing_status,pricing_emitted,pricing_color,pricing_phase,pricing_confidence,rk_success,domain_exit,price_cockpit_output
0,2022-09-30 04:00:00,2026-08-27T19:05:32.438426Z,2026-08-27T19:05:32.439418Z,998400,AAPL,143.49,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
1,2022-09-30 04:01:00,2026-08-27T19:05:32.439510Z,2026-08-27T19:05:32.440046Z,539200,AAPL,143.38,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
2,2022-09-30 04:02:00,2026-08-27T19:05:32.440124Z,2026-08-27T19:05:32.440663Z,541900,AAPL,143.22,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
3,2022-09-30 04:03:00,2026-08-27T19:05:32.440727Z,2026-08-27T19:05:32.441162Z,436800,AAPL,143.23,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
4,2022-09-30 04:04:00,2026-08-27T19:05:32.441214Z,2026-08-27T19:05:32.441653Z,441500,AAPL,143.32,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
5,2022-09-30 04:05:00,2026-08-27T19:05:32.441703Z,2026-08-27T19:05:32.442238Z,537400,AAPL,143.2,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
6,2022-09-30 04:06:00,2026-08-27T19:05:32.442318Z,2026-08-27T19:05:32.442872Z,557800,AAPL,143.0,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
7,2022-09-30 04:09:00,2026-08-27T19:05:32.442983Z,2026-08-27T19:05:32.443500Z,519900,AAPL,143.02,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
8,2022-09-30 04:14:00,2026-08-27T19:05:32.443588Z,2026-08-27T19:05:32.444020Z,433900,AAPL,143.2,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
9,2022-09-30 04:15:00,2026-08-27T19:05:32.444066Z,2026-08-27T19:05:32.444489Z,424700,AAPL,143.24,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
10,2022-09-30 04:16:00,2026-08-27T19:05:32.444553Z,2026-08-27T19:05:32.445098Z,547700,AAPL,143.39,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
11,2022-09-30 04:17:00,2026-08-27T19:05:32.445166Z,2026-08-27T19:05:32.445609Z,444700,AAPL,143.35,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
12,2022-09-30 04:18:00,2026-08-27T19:05:32.445667Z,2026-08-27T19:05:32.446176Z,511500,AAPL,143.33,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
13,2022-09-30 04:19:00,2026-08-27T19:05:32.446236Z,2026-08-27T19:05:32.446672Z,438500,AAPL,143.31,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
14,2022-09-30 04:20:00,2026-08-27T19:05:32.446731Z,2026-08-27T19:05:32.447261Z,532400,AAPL,143.31,INITIALIZING,,WARMUP_DERIVATIVE,False,,,,,,False
15,2022-09-30 04:21:00,2026-08-27T19:05:32.447332Z,2026-08-27T19:05:32.448253Z,923900,AAPL,143.3,ACTIONABLE,SELL,WARMUP_F4,False,,,,,,False
16,2022-09-30 04:24:00,2026-08-27T19:05:32.448304Z,2026-08-27T19:05:32.448996Z,694000,AAPL,143.3,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
17,2022-09-30 04:25:00,2026-08-27T19:05:32.449061Z,2026-08-27T19:05:32.449724Z,665400,AAPL,143.35,ACTIONABLE,BUY,WARMUP_F4,False,,,,,,False
18,2022-09-30 04:26:00,2026-08-27T19:05:32.449791Z,2026-08-27T19:05:32.450457Z,667700,AAPL,143.34,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
19,2022-09-30 04:27:00,2026-08-27T19:05:32.450522Z,2026-08-27T19:05:32.451188Z,668500,AAPL,143.3,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
20,2022-09-30 04:30:00,2026-08-27T19:05:32.451244Z,2026-08-27T19:05:32.452086Z,846200,AAPL,143.22,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
21,2022-09-30 04:32:00,2026-08-27T19:05:32.452168Z,2026-08-27T19:05:32.452897Z,733000,AAPL,143.3,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
22,2022-09-30 04:33:00,2026-08-27T19:05:32.452975Z,2026-08-27T19:05:32.453832Z,861000,AAPL,143.23,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
23,2022-09-30 04:36:00,2026-08-27T19:05:32.453917Z,2026-08-27T19:05:32.454596Z,681400,AAPL,143.2,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
24,2022-09-30 04:37:00,2026-08-27T19:05:32.454664Z,2026-08-27T19:05:32.455327Z,665300,AAPL,143.24,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
25,2022-09-30 04:38:00,2026-08-27T19:05:32.455395Z,2026-08-27T19:05:32.456042Z,648900,AAPL,143.02,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
26,2022-09-30 04:39:00,2026-08-27T19:05:32.456104Z,2026-08-27T19:05:32.456756Z,654200,AAPL,143.19,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
27,2022-09-30 04:40:00,2026-08-27T19:05:32.456827Z,2026-08-27T19:05:32.457478Z,653500,AAPL,143.2,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
28,2022-09-30 04:41:00,2026-08-27T19:05:32.457546Z,2026-08-27T19:05:32.458199Z,655600,AAPL,143.2,ACTIONABLE,SELL,WARMUP_F4,False,,,,,,False
29,2022-09-30 04:42:00,2026-08-27T19:05:32.458266Z,2026-08-27T19:05:32.458921Z,658300,AAPL,143.3,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
30,2022-09-30 04:43:00,2026-08-27T19:05:32.458985Z,2026-08-27T19:05:32.459725Z,743900,AAPL,143.3,ACTIONABLE,SELL,WARMUP_F4,False,,,,,,False
31,2022-09-30 04:44:00,2026-08-27T19:05:32.459790Z,2026-08-27T19:05:32.460519Z,731900,AAPL,143.32,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
32,2022-09-30 04:46:00,2026-08-27T19:05:32.460583Z,2026-08-27T19:05:32.461253Z,671800,AAPL,143.34,ACTIONABLE,HOLD,WARMUP_F4,False,,,,,,False
33,2022-09-30 04:49:00,2026-08-27T19:05:32.461346Z,2026-08-27T19:05:32.462019Z,675800,AAPL,143.34,ACTIONABLE,SELL,WARMUP_F4,False,,,,,,False
